Name;Type;street_address;latitude;longitude;geopoint
NCJU;Kiosk;John F Kennedy Blvd between Audubon Ave & Culver Ave;40.70916;-74.08605;40.70916, -74.08605
Newport Path;Kiosk;540 Washington Boulevard;40.726778;-74.034472;40.726778, -74.034472
Newport Green Park;Kiosk;614 Washington Boulevard;40.731285;-74.034059;40.731285, -74.034059
Richard St. Light Rail;Kiosk;6 Richard St.;40.699113;-74.079087;40.699113, -74.079087
West Bergen Branch;Library;546 West Side Ave. Jersey City;40.719426;-74.082442;40.719426, -74.082442
McGinley Square;Kiosk;Montgomery St. & Bergen Ave.;40.72536;-74.06777;40.72536, -74.06777
Post Office - Central Ave;Kiosk;392 Central Ave.;40.748194;-74.047778;40.748194, -74.047778
Tap Haus Gulls Cove Condos;Kiosk;18 Park View Ave.;40.714613;-74.043075;40.714613, -74.043075
Journal Square;Kiosk;7 Path Plaza;40.731472;-74.064056;40.731472, -74.064056
Earl Morgan Branch;Library;1841 Kennedy Boulevard Jersey City;40.703086;-74.0914041;40.703086, -74.0914041
Glenn D. Cunningham;Library;275 Martin Luther King Dr. Jersey City;40.7147116;-74.0754342;40.7147116, -74.0754342
Heights Branch;Library;14 Zabriskie St. Jersey City;40.7456762;-74.0503615;40.7456762, -74.0503615
Lafayette Branch;Library;307 Pacific Ave. Jersey City;40.7117027;-74.0624341;40.7117027, -74.0624341
Riverview Park;Kiosk;Palisade Ave. & Bowers Street;40.74534;-74.04328;40.74534, -74.04328
In Grove St. PATH Plaza;Kiosk;110 Newark Avenue;40.719761;-74.04241;40.719761, -74.04241
Danforth Light Rail;Kiosk;368 Princeton Ave.;40.69243;-74.08796;40.69243, -74.08796
Pet Shop - Jersey and Newark;Kiosk;163 Newark Ave.;40.721471;-74.045973;40.721471, -74.045973
Chase Bank;Kiosk;575 Washington Boulevard;40.72845;-74.03498;40.72845, -74.03498
Yaght Club;Kiosk;502 Washington Boulevard;40.72542;-74.035311;40.72542, -74.035311
City Hall;Kiosk;280 Grove St.;40.71788;-74.04369;40.71788, -74.04369
Jackson Square;Kiosk;360 Martin Luther King Drive;40.711345;-74.078382;40.711345, -74.078382
Currie;Kiosk;Ruby Brown Place;40.692806;-74.100917;40.692806, -74.100917
Priscilla Gardner Main Library;Library;472 Jersey Ave. Jersey City;40.7189164;-74.0473875;40.7189164, -74.0473875
Five Corners Branch;Library;678 Newark Ave. Jersey City;40.734956;-74.059405;40.734956, -74.059405
Miller Branch;Library;489 Bergen Ave. Jersey City;40.717906;-74.076411;40.717906, -74.076411
Pershing Field;Kiosk;Central Ave and Manhattan Ave;40.742789;-74.051651;40.742789, -74.051651
Exchange Place - Outside Gregory Coffee;Kiosk;10 Exchange Place;40.71643;-74.03311;40.71643, -74.03311
Journal Square Path;Kiosk;9 Path Plaza;40.731916;-74.063743;40.731916, -74.063743
Pavonia Branch;Library;326 Eighth St. Jersey City;40.727228;-74.047816;40.727228, -74.047816
Marion Branch;Library;1017 West Side Ave. Jersey City;40.7341517;-74.0716283;40.7341517, -74.0716283
Raaz;Kiosk;545 Washington Boulevard;40.727332;-74.034753;40.727332, -74.034753
Bergen Ave. and Academy St.;Kiosk;880 Bergen Avenue;40.729237;-74.065899;40.729237, -74.065899
Ruth's Chris;Kiosk;499 Washington Boulevard;40.726371;-74.03531;40.726371, -74.03531
West Side Ave. Light Rail;Kiosk;Corner of West Side Ave. & Claremont Ave.;40.714778;-74.087861;40.714778, -74.087861
